date,value,series_id,series_name
1972-10-01,6.48,GS10,10-Year Treasury Constant Maturity Rate
1972-11-01,6.28,GS10,10-Year Treasury Constant Maturity Rate
1972-12-01,6.36,GS10,10-Year Treasury Constant Maturity Rate
1973-01-01,6.46,GS10,10-Year Treasury Constant Maturity Rate
1973-02-01,6.64,GS10,10-Year Treasury Constant Maturity Rate
1973-03-01,6.71,GS10,10-Year Treasury Constant Maturity Rate
1973-04-01,6.67,GS10,10-Year Treasury Constant Maturity Rate
1973-05-01,6.85,GS10,10-Year Treasury Constant Maturity Rate
1973-06-01,6.9,GS10,10-Year Treasury Constant Maturity Rate
1973-07-01,7.13,GS10,10-Year Treasury Constant Maturity Rate
1973-08-01,7.4,GS10,10-Year Treasury Constant Maturity Rate
1973-09-01,7.09,GS10,10-Year Treasury Constant Maturity Rate
1973-10-01,6.79,GS10,10-Year Treasury Constant Maturity Rate
1973-11-01,6.73,GS10,10-Year Treasury Constant Maturity Rate
1973-12-01,6.74,GS10,10-Year Treasury Constant Maturity Rate
1974-01-01,6.99,GS10,10-Year Treasury Constant Maturity Rate
1974-02-01,6.96,GS10,10-Year Treasury Constant Maturity Rate
1974-03-01,7.21,GS10,10-Year Treasury Constant Maturity Rate
1974-04-01,7.51,GS10,10-Year Treasury Constant Maturity Rate
1974-05-01,7.58,GS10,10-Year Treasury Constant Maturity Rate
1974-06-01,7.54,GS10,10-Year Treasury Constant Maturity Rate
1974-07-01,7.81,GS10,10-Year Treasury Constant Maturity Rate
1974-08-01,8.04,GS10,10-Year Treasury Constant Maturity Rate
1974-09-01,8.04,GS10,10-Year Treasury Constant Maturity Rate
1974-10-01,7.9,GS10,10-Year Treasury Constant Maturity Rate
1974-11-01,7.68,GS10,10-Year Treasury Constant Maturity Rate
1974-12-01,7.43,GS10,10-Year Treasury Constant Maturity Rate
1975-01-01,7.5,GS10,10-Year Treasury Constant Maturity Rate
1975-02-01,7.39,GS10,10-Year Treasury Constant Maturity Rate
