ID,Model,ModelParameters,TransformationParameters,TransformationRuntime,FitRuntime,PredictRuntime,TotalRuntime,Ensemble,Exceptions,Runs,ValidationRound,smape,mae,rmse,containment,spl,contour,smape_weighted,mae_weighted,rmse_weighted,containment_weighted,spl_weighted,contour_weighted,Score,TotalRuntimeSeconds
394853aa6348f0a69360c33fb66b052d,ZeroesNaive,{},"{""outlier_method"": ""clip"", ""outlier_threshold"": 3, ""outlier_position"": ""middle"", ""fillna"": ""ffill"", ""transformation"": null, ""second_transformation"": ""RollingMean"", ""transformation_param"": ""28"", ""detrend"": null, ""third_transformation"": ""QuantileTransformer"", ""transformation_param2"": null, ""fourth_transformation"": ""MaxAbsScaler"", ""discretization"": ""lower"", ""n_bins"": 25, ""context_slicer"": 50}",0 days 00:00:01.086396000,0 days 00:00:00.000000000,0 days 00:00:00.000997000,0 days 00:00:01.087393000,0,,1,0,89.8678521244941,3.5667761178560373,4.722230581997406,0.2567857142857143,1.4713102072734725,0.4718518518518519,89.86785212449409,3.566776117856037,4.722230581997408,0.2567857142857143,1.4713102072734716,0.47185185185185186,7.883133859590702,2.0
1b88da0121dba1e4a074703c464cc94c,LastValueNaive,{},"{""outlier_method"": null, ""outlier_threshold"": null, ""outlier_position"": ""first"", ""fillna"": ""fake date"", ""transformation"": ""PowerTransformer"", ""second_transformation"": null, ""transformation_param"": null, ""detrend"": ""Tweedie"", ""third_transformation"": null, ""transformation_param2"": null, ""fourth_transformation"": null, ""discretization"": null, ""n_bins"": null, ""context_slicer"": null}",0 days 00:00:00.804662000,0 days 00:00:00.011991000,0 days 00:00:00.057321000,0 days 00:00:00.873974000,0,,1,0,92.68968907274943,4.4,5.211376158496217,0.41785714285714287,1.4641500249262733,0.36222222222222217,92.68968907274946,4.400000000000002,5.2113761584962175,0.41785714285714287,1.4641500249262729,0.36222222222222217,8.53917328182741,1.0
572b2b569bf2c6f82e0ab6e0728ba3f6,LastValueNaive,{},"{""outlier_method"": null, ""outlier_threshold"": null, ""outlier_position"": ""first"", ""fillna"": ""fake date"", ""transformation"": null, ""second_transformation"": null, ""transformation_param"": null, ""detrend"": null, ""third_transformation"": null, ""transformation_param2"": null, ""fourth_transformation"": null, ""discretization"": null, ""n_bins"": null, ""context_slicer"": null}",0 days 00:00:00.286236000,0 days 00:00:00.009977000,0 days 00:00:00.063798000,0 days 00:00:00.360011000,0,,1,0,92.68968907274953,4.399999999999999,5.211376158496213,0.482857142857143,0.9790563688822068,0.36222222222222217,92.68968907274956,4.3999999999999995,5.211376158496213,0.4828571428571429,0.9790563688822072,0.36222222222222217,8.539173281827413,1.0
15a15a01fe7222e16e51f96c4289fcb6,LastValueNaive,{},"{""outlier_method"": null, ""outlier_threshold"": null, ""outlier_position"": ""first"", ""fillna"": ""fake date"", ""transformation"": ""PowerTransformer"", ""second_transformation"": ""RollingMean"", ""transformation_param"": ""3"", ""detrend"": null, ""third_transformation"": null, ""transformation_param2"": null, ""fourth_transformation"": null, ""discretization"": null, ""n_bins"": null, ""context_slicer"": null}",0 days 00:00:00.662778000,0 days 00:00:00.008944000,0 days 00:00:00.050903000,0 days 00:00:00.722625000,0,,1,0,92.8324551282724,3.99321428571428,4.970041399181192,0.34321428571428564,22.96301900020208,0.45407407407407413,92.83245512827237,3.993214285714281,4.970041399181192,0.34321428571428564,22.963019000202074,0.4540740740740741,8.284048190178186,1.0
50bda1a6f4b8798661cfde973a4f44cf,SeasonalNaive,"{""method"": ""Mean"", ""lag_1"": 12, ""lag_2"": 96}","{""outlier_method"": null, ""outlier_threshold"": null, ""outlier_position"": ""first"", ""fillna"": ""ffill"", ""transformation"": null, ""second_transformation"": null, ""transformation_param"": null, ""detrend"": null, ""third_transformation"": null, ""transformation_param2"": null, ""fourth_transformation"": null, ""discretization"": null, ""n_bins"": null, ""context_slicer"": null}",0 days 00:00:00.133372000,0 days 00:00:00.006981000,0 days 00:00:02.153213000,0 days 00:00:02.293566000,0,,1,0,101.34763243352259,3.6142380640689034,4.379807410034008,0.8164285714285711,0.6284673634412685,0.4903703703703704,101.34763243352259,3.614238064068904,4.379807410034011,0.8164285714285713,0.6284673634412683,0.4903703703703703,8.183699570321407,3.0
e976a13ff82cd4d28a6303f79e509154,SeasonalNaive,"{""method"": ""Mean"", ""lag_1"": 7, ""lag_2"": 1}","{""outlier_method"": null, ""outlier_threshold"": null, ""outlier_position"": ""first"", ""fillna"": ""fake date"", ""transformation"": null, ""second_transformation"": null, ""transformation_param"": null, ""detrend"": null, ""third_transformation"": null, ""transformation_param2"": null, ""fourth_transformation"": null, ""discretization"": ""upper"", ""n_bins"": 25, ""context_slicer"": ""6ForecastLength""}",0 days 00:00:00.330777000,0 days 00:00:00.001994000,0 days 00:00:02.388673000,0 days 00:00:02.721444000,0,,1,0,101.26554631548503,2.9901059523809517,3.756269294224499,0.8682142857142856,0.5279413879515927,0.5225925925925927,101.26554631548504,2.9901059523809526,3.7562692942245017,0.8682142857142857,0.5279413879515928,0.5225925925925926,7.619143468344642,3.0
e5d36ee242c45861d2825dea6253cc07,SeasonalNaive,"{""method"": ""Mean"", ""lag_1"": 7, ""lag_2"": 28}","{""outlier_method"": null, ""outlier_threshold"": null, ""outlier_position"": null, ""fillna"": ""ffill"", ""transformation"": null, ""second_transformation"": null, ""transformation_param"": null, ""detrend"": ""RANSAC"", ""third_transformation"": null, ""transformation_param2"": null, ""fourth_transformation"": ""PowerTransformer"", ""discretization"": null, ""n_bins"": null, ""context_slicer"": null}",0 days 00:00:01.284286000,0 days 00:00:00.009976000,0 days 00:00:02.323968000,0 days 00:00:03.618230000,0,,1,0,113.20532012881854,4.242138212716285,4.984934743311225,0.7110714285714288,0.684312572771883,0.48962962962962936,113.20532012881854,4.242138212716283,4.984934743311225,0.7110714285714288,0.6843125727718831,0.4896296296296295,9.254665971367213,4.0
6104f4f34ee61240baef86418b787b37,SeasonalNaive,"{""method"": ""Mean"", ""lag_1"": 11, ""lag_2"": 96}","{""outlier_method"": ""clip"", ""outlier_threshold"": 3, ""outlier_position"": ""first"", ""fillna"": ""ffill"", ""transformation"": null, ""second_transformation"": null, ""transformation_param"": null, ""detrend"": ""RANSAC"", ""third_transformation"": null, ""transformation_param2"": null, ""fourth_transformation"": null, ""discretization"": ""upper"", ""n_bins"": 25, ""context_slicer"": null}",0 days 00:00:01.063538000,0 days 00:00:00.005979000,0 days 00:00:02.163312000,0 days 00:00:03.232829000,0,,1,0,124.1767076824977,5.268721750020493,6.052482665682543,0.6157142857142857,0.9100414523817322,0.4385185185185185,124.17670768249768,5.268721750020495,6.052482665682544,0.6157142857142857,0.9100414523817325,0.4385185185185185,10.685523660835504,4.0
c08a654e8f4b0fba430a1010c9c3d486,AverageValueNaive,"{""method"": ""Mean""}","{""outlier_method"": null, ""outlier_threshold"": null, ""outlier_position"": null, ""fillna"": ""fake date"", ""transformation"": null, ""second_transformation"": null, ""transformation_param"": null, ""detrend"": null, ""third_transformation"": null, ""transformation_param2"": null, ""fourth_transformation"": null, ""discretization"": null, ""n_bins"": null, ""context_slicer"": null}",0 days 00:00:00.242182000,0 days 00:00:00.000000000,0 days 00:00:00.052172000,0 days 00:00:00.294354000,0,,1,0,99.7715565757574,3.0621930501930503,3.8672871199628314,0.5692857142857144,0.6893923362408462,0.36222222222222217,99.77155657575742,3.0621930501930503,3.8672871199628314,0.5692857142857144,0.6893923362408462,0.36222222222222217,7.642960011454127,1.0
7e0b611fb414cfa10561af86378c08b5,AverageValueNaive,"{""method"": ""Mean""}","{""outlier_method"": null, ""outlier_threshold"": null, ""outlier_position"": ""first"", ""fillna"": ""fake date"", ""transformation"": ""QuantileTransformer"", ""second_transformation"": ""FixedRollingMean"", ""transformation_param"": ""10"", ""detrend"": null, ""third_transformation"": ""SeasonalDifferenceMean"", ""transformation_param2"": ""7"", ""fourth_transformation"": ""StandardScaler"", ""discretization"": null, ""n_bins"": null, ""context_slicer"": null}",0 days 00:00:00.309799000,0 days 00:00:00.000997000,0 days 00:00:00.051893000,0 days 00:00:00.362689000,0,,1,0,87.32137296487286,3.341550100624169,4.266982819167532,0.5464285714285715,0.8866321343510021,0.39444444444444426,87.32137296487286,3.34155010062417,4.266982819167531,0.5464285714285715,0.8866321343510017,0.3944444444444444,7.423539764742841,1.0
261f1b02d0c612fc3e10d688835b71e3,AverageValueNaive,"{""method"": ""Mean""}","{""outlier_method"": null, ""outlier_threshold"": null, ""outlier_position"": ""first"", ""fillna"": ""fake date"", ""transformation"": ""MaxAbsScaler"", ""second_transformation"": null, ""transformation_param"": null, ""detrend"": null, ""third_transformation"": null, ""transformation_param2"": null, ""fourth_transformation"": null, ""discretization"": null, ""n_bins"": null, ""context_slicer"": null}",0 days 00:00:00.252538000,0 days 00:00:00.000000000,0 days 00:00:00.055809000,0 days 00:00:00.308347000,0,,1,0,99.77155657575742,3.0621930501930503,3.8672871199628314,0.5692857142857144,0.6893923362408462,0.36222222222222217,99.77155657575746,3.0621930501930503,3.8672871199628323,0.5692857142857144,0.6893923362408462,0.36222222222222217,7.64296001145413,1.0
